,att0,att1,att2,att3,att4,att5,att6,att7,time
0,0.0,25.0,20.72,76.24,100.76,126.41,152.45,177.62,
1,0.0,25.097283050403306,50.19456610080661,75.2918491512099,100.3891322016132,125.4864152520165,150.5836983024198,175.68098135282312,Thu Jul  8 13:57:45 2021
2,0.0,26.35,52.5,77.923,103.062,130.2615,154.1797,181.824,Thu Jul  8 14:00:17 2021
